num,fecha,estrategia,tipo,partido,match_id,minuto,score,ft_score,won,odds,lay_trigger,pl_flat,acum_flat,stake,pl_gestion,acum_gestion,bankroll,co,lay_co,min_co,pl_co
166,21/02 00:40,xG Underperf,OVER Over 1.5,Llaneros Ind Medellin,llaneros-ind-medellin-apuestas-35269192,55,0-1,2-2,1,1.57,,0.49,25.79,3.17,1.57,60.23,160,0,,,0.49
167,21/02 01:03,Back Empate,DRAW,Defensor Sp Cerro Largo Fc,defensor-sp-cerro-largo-fc-apuestas-35263840,32,,1-0,0,2.72,3.05,-1.00,24.79,3.20,-3.20,57.03,157,1,7.60,58,-0.64
168,21/02 01:46,Goal Clustering,OVER Over 1.5,Defensor Sp Cerro Largo Fc,defensor-sp-cerro-largo-fc-apuestas-35263840,52,1-0,1-0,0,1.53,1.71,-1.00,23.79,3.14,-3.14,53.89,154,1,2.86,74,-0.47
169,21/02 01:53,Back Empate,DRAW,Rosario Central Talleres,rosario-central-talleres-apuestas-35252272,32,,0-1,0,2.60,2.72,-1.00,22.79,3.08,-3.08,50.81,151,1,3.95,70,-0.34
170,21/02 02:09,Goal Clustering,OVER Over 1.5,Rosario Central Talleres,rosario-central-talleres-apuestas-35252272,43,0-1,0-1,0,1.30,1.37,-1.00,21.79,3.02,-3.02,47.79,148,1,1.98,67,-0.34
171,21/02 11:33,Back Empate,DRAW,Nakhon Pathom Trat,nakhon-pathom-trat-apuestas-35288375,32,,0-1,0,2.72,3.45,-1.00,20.79,2.96,-2.96,44.83,145,1,4.10,66,-0.34
172,21/02 13:04,Back Empate,DRAW,Swindon Crewe,swindon-crewe-apuestas-35277583,33,,0-1,0,2.96,3.1,-1.00,19.79,2.90,-2.90,41.93,142,0,,,-1.00
173,21/02 13:35,Back Empate,DRAW,Reims Amiens,reims-amiens-apuestas-35266153,33,,0-0,1,3.65,4,2.39,22.18,2.84,6.80,48.73,149,0,,,2.39
174,21/02 17:50,Back Empate,DRAW,Club Brugge Oh Leuven,club-brugge-oh-leuven-apuestas-35270656,33,,2-1,0,3.95,5,-1.00,21.18,2.97,-2.97,45.76,146,1,7.60,63,-0.48
175,21/02 17:57,Momentum x xG V1,HOME,West Ham Bournemouth,west-ham-bournemouth-apuestas-35240880,25,0-0,0-0,0,2.82,3.25,-1.00,20.18,2.92,-2.92,42.84,143,1,5.10,68,-0.45
176,21/02 18:09,Momentum x xG V1,AWAY,Lecce Inter,lecce-inter-apuestas-35243175,47,0-0,0-2,1,1.59,1.69,0.50,20.68,2.86,1.44,44.28,144,1,2.48,73,0.50
177,21/02 18:28,Odds Drift,AWAY,Psv Heerenveen,psv-heerenveen-apuestas-35243119,41,0-1,3-1,0,4.00,4.4,-1.00,19.68,2.89,-2.89,41.39,141,1,10.50,45,-0.62
178,21/02 18:35,Back Empate,DRAW,Toulouse Paris Fc,toulouse-paris-fc-apuestas-35243052,34,,1-1,1,2.68,2.88,1.51,21.19,2.83,4.27,45.66,146,1,4.10,72,1.51
179,21/02 18:35,Back Empate,DRAW,Moreirense Sporting De Lisboa,moreirense-sporting-de-lisboa-apuestas-35273774,33,,0-3,0,4.40,5,-1.00,20.19,2.91,-2.91,42.75,143,1,13.50,54,-0.67
180,21/02 19:02,Tarde Asia,OVER Over 2.5,Al Nassr Al Hazm Ksa,al-nassr-al-hazm-ksa-apuestas-35268414,0,,4-0,1,1.22,1.26,0.17,20.36,2.86,0.49,43.24,143,0,,,0.17
181,21/02 19:25,Goal Clustering,OVER Over 2.5,Moreirense Sporting De Lisboa,moreirense-sporting-de-lisboa-apuestas-35273774,57,0-2,0-3,1,1.53,1.66,0.46,20.82,2.86,1.30,44.54,145,0,,,0.46
182,21/02 19:33,Back Empate,DRAW,Al Khaleej Saihat Neom Sports Club,al-khaleej-saihat-neom-sports-club-apuestas-352684,33,,0-1,0,3.35,3.55,-1.00,19.82,2.89,-2.89,41.65,142,0,,,-1.00
183,21/02 19:35,Back Empate,DRAW,Nac Breda Volendam,nac-breda-volendam-apuestas-35243102,33,,1-0,0,3.40,3.7,-1.00,18.82,2.83,-2.83,38.82,139,0,,,-1.00
184,21/02 20:34,Back Empate,DRAW,Ajax Nec Nijmegen,ajax-nec-nijmegen-apuestas-35243144,32,,1-1,1,3.40,3.6,2.17,20.99,2.78,6.02,44.84,145,0,,,2.17
185,21/02 20:41,xG Underperf,OVER Over 1.5,Las Palmas Castellón,las-palmas-castellón-apuestas-35272365,38,1-0,1-1,1,1.23,1.27,0.18,21.17,2.90,0.52,45.36,145,1,1.91,71,0.18
186,21/02 20:46,Back Empate,DRAW,Ca Platense Barracas Central,ca-platense-barracas-central-apuestas-35252425,34,,1-0,0,2.40,2.58,-1.00,20.17,2.91,-2.91,42.45,142,0,,,-1.00
187,21/02 21:19,Goal Clustering,OVER Over 3.5,"Independiente Rivadavia Ca Independiente Apuestas ",independiente-rivadavia-ca-independiente-apuestas-,52,1-2,3-2,1,1.55,1.63,0.47,20.65,2.85,1.35,43.80,144,0,,,0.47
188,21/02 22:06,Back Empate,DRAW,Red Bull Bragantino São Paulo,red-bull-bragantino-são-paulo-apuestas-352759,33,,1-2,0,2.54,3,-1.00,19.65,2.88,-2.88,40.92,141,1,4.10,42,-0.38
189,21/02 22:27,Back Empate,DRAW,Fc Cincinnati Atlanta Utd,fc-cincinnati-atlanta-utd-apuestas-35189516,31,,2-0,0,3.00,3.2,-1.00,18.65,2.82,-2.82,38.10,138,1,8.40,84,-0.64
190,21/02 22:49,Back Empate,DRAW,Banfield Newells,banfield-newells-apuestas-35252624,33,,3-0,0,2.34,2.54,-1.00,17.65,2.76,-2.76,35.34,135,1,5.30,57,-0.56
191,21/02 22:52,Goal Clustering,OVER Over 2.5,Red Bull Bragantino São Paulo,red-bull-bragantino-são-paulo-apuestas-352759,51,0-2,1-2,1,1.40,1.73,0.33,17.98,2.71,0.90,36.24,136,1,2.12,69,0.33
192,21/02 22:57,Back Empate,DRAW,Deportivo Riestra Ca Huracan,deportivo-riestra-ca-huracan-apuestas-35252686,31,,0-0,1,2.14,2.26,1.02,19.00,2.72,2.76,39.00,139,0,,,1.02
193,21/02 23:36,Goal Clustering,OVER Over 1.5,Banfield Newells,banfield-newells-apuestas-35252624,54,1-0,3-0,1,1.64,1.73,0.55,19.55,2.78,1.53,40.53,141,0,,,0.55
194,21/02 23:50,Goal Clustering,OVER Over 2.5,Atlas Atletico San Luis,atlas-atletico-san-luis-apuestas-35246114,43,0-2,3-2,1,1.24,1.27,0.19,19.74,2.81,0.53,41.06,141,0,,,0.19
195,22/02 00:31,xG Underperf,OVER Over 2.5,Atletico Nacional Medellin Alianza Fc Valledupar A,atletico-nacional-medellin-alianza-fc-valledupar-a,48,2-0,3-0,1,1.23,1.27,0.18,19.92,2.82,0.51,41.57,142,0,,,0.18
196,22/02 01:12,Back Empate,DRAW,Vancouver Whitecaps Real Salt Lake,vancouver-whitecaps-real-salt-lake-apuestas-351896,32,,1-0,0,4.40,4.9,-1.00,18.92,2.83,-2.83,38.74,139,1,8.40,58,-0.48
197,22/02 02:02,Goal Clustering,OVER Over 1.5,Vancouver Whitecaps Real Salt Lake,vancouver-whitecaps-real-salt-lake-apuestas-351896,56,1-0,1-0,0,1.37,1.44,-1.00,17.92,2.77,-2.77,35.97,136,0,,,-1.00
198,22/02 02:03,Back Empate,DRAW,"Internacional De Bogotá Millonarios Apuestas ",internacional-de-bogotá-millonarios-apuestas-,33,,0-0,1,2.54,2.62,1.38,19.30,2.72,3.75,39.72,140,0,,,1.38