match,match_id,csv_file,timestamp_utc,strategy,minuto,score,ft_score,won,pl,back_draw,back_over_odds,over_line,back_odds,drift_pct,xg_total,xg_excess,poss_diff,shots_total,sot_total,sot_max,passes_v15,passes_v2r,passes_v2,passes_v3,passes_v4,team,goal_diff,cashout_applied,cashout_minute,cashout_lay_odds,conservative_odds,pl_conservative,stability_count,risk_level
"Brentford Arsenal",brentford-arsenal-apuestas-35212180,brentford-arsenal-apuestas-35212180.csv,2026-02-12 20:32:28,Back Empate,31,,1-1,1,17.67,2.96,,,,,0.25,,2,2,1,,1,1,1,0,1,,,0,,,2.82,17.29,11,
"Atlético De Madrid Fc Barcelona",atlético-de-madrid-fc-barcelona-apuestas-3523,atlético-de-madrid-fc-barcelona-apuestas-3523.csv,2026-02-12 20:50:54,xG Underperf,47,4-0,4-0,0,-10,,1.42,Over 4.5,,,,0.5,,,,,0,0,1,1,0,away,,0,,,1.42,-10,11,
"Brentford Arsenal",brentford-arsenal-apuestas-35212180,brentford-arsenal-apuestas-35212180.csv,2026-02-12 21:26:50,xG Underperf,68,0-1,1-1,1,5.51,,1.64,Over 1.5,,,,0.57,,,,,0,0,1,1,0,home,,0,,,1.48,4.56,5,
"Fluminense Botafogo Fr",fluminense-botafogo-fr-apuestas-35248598,fluminense-botafogo-fr-apuestas-35248598.csv,2026-02-12 23:06:24,Back Empate,32,,1-0,0,-10,2.68,,,,,0.1,,7.6,2,1,,1,1,1,1,0,,,0,,,2.68,-10,8,
"Corinthians Red Bull Bragantino",corinthians-red-bull-bragantino-apuestas-35207556,corinthians-red-bull-bragantino-apuestas-35207556.csv,2026-02-13 00:32:30,xG Underperf,64,1-0,2-0,1,5.98,,1.69,Over 1.5,,,,1.24,,,,,0,0,1,1,0,away,,0,,,1.65,6.17,11,
"Internacional Se Palmeiras",internacional-se-palmeiras-apuestas-35224753,internacional-se-palmeiras-apuestas-35224753.csv,2026-02-13 00:53:56,Odds Drift,22,0-1,0-1,1,13.97,,,,2.56,36.2,,,,,,,0,0,0,0,0,away,1,0,,,1.85,8.07,11,none
"Anorthosis Digenis Ypsona",anorthosis-digenis-ypsona-apuestas-35247517,anorthosis-digenis-ypsona-apuestas-35247517.csv,2026-02-13 17:38:22,Back Empate,34,,1-1,1,12.83,2.44,,,,,0,,2,5,2,,1,1,1,0,0,,,0,,,2.44,13.68,10,
"Galatasaray Eyupspor",galatasaray-eyupspor-apuestas-35243984,galatasaray-eyupspor-apuestas-35243984.csv,2026-02-13 17:44:21,Goal Clustering,33,2-0,5-1,1,2.28,,1.29,Over 2.5,,,,,,,,5,0,0,0,1,1,,,0,,,1.29,2.76,11,
"Anorthosis Digenis Ypsona",anorthosis-digenis-ypsona-apuestas-35247517,anorthosis-digenis-ypsona-apuestas-35247517.csv,2026-02-13 17:50:14,Goal Clustering,36,1-0,1-1,1,3.04,,1.37,Over 1.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.37,3.52,11,
"Fortuna Dusseldorf Preussen Munster",fortuna-dusseldorf-preussen-munster-apuestas-35243,fortuna-dusseldorf-preussen-munster-apuestas-35243.csv,2026-02-13 18:05:04,Back Empate,34,,0-0,1,15.58,2.74,,,,,0.51,,1.6,7,1,,1,1,0,1,0,,,0,,,2.44,13.68,11,
"Liverpool Montevideo Defensor Sp",liverpool-montevideo-defensor-sp-apuestas-35238332,liverpool-montevideo-defensor-sp-apuestas-35238332.csv,2026-02-14 01:18:56,Goal Clustering,43,1-1,1-2,1,11.21,,2.26,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,2.26,11.97,11,
"Burton Albion West Ham",burton-albion-west-ham-apuestas-35172777,burton-albion-west-ham-apuestas-35172777.csv,2026-02-14 12:32:25,Momentum x xG V1,13,0-0,0-0,0,-10,,,,4.3,,,,,,,,0,0,0,0,0,,,0,,,4.3,-10,11,none
"Braunschweig Darmstadt",braunschweig-darmstadt-apuestas-35243475,braunschweig-darmstadt-apuestas-35243475.csv,2026-02-14 12:44:30,Odds Drift,43,1-0,2-2,0,-10,,,,1.71,47.4,,,,,,,0,0,0,0,0,home,1,0,,,1.43,-10,3,none
"Reading Wycombe",reading-wycombe-apuestas-35240945,reading-wycombe-apuestas-35240945.csv,2026-02-14 13:17:14,Goal Clustering,43,2-0,3-2,1,9.4,,2.06,Over 2.5,,,,,,,,3,0,0,0,1,1,,,0,,,2.06,10.07,11,
"Hertha Berlín Hannover",hertha-berlín-hannover-apuestas-35243477,hertha-berlín-hannover-apuestas-35243477.csv,2026-02-14 13:17:55,Goal Clustering,52,1-2,2-3,1,7.41,,1.84,Over 3.5,,,,,,,,4,0,0,0,1,1,,,0,,,1.84,7.98,11,
"Cska 1948 Sofia Cska Sofía",cska-1948-sofia-cska-sofía-apuestas-35239870,cska-1948-sofia-cska-sofía-apuestas-35239870.csv,2026-02-14 13:18:36,Back Empate,31,,0-2,0,-10,2.48,,,,,0,,4,1,1,,1,1,1,0,0,,,0,,,2.48,-10,11,
"Reading Wycombe",reading-wycombe-apuestas-35240945,reading-wycombe-apuestas-35240945.csv,2026-02-14 13:40:11,Odds Drift,50,2-1,3-2,1,4.94,,,,1.57,38.9,,,,,,,0,0,0,0,1,home,1,0,,,1.13,1.23,11,none
"Eintracht Frankfurt B Mönchengladbach Apuesta",eintracht-frankfurt-b-mönchengladbach-apuesta,eintracht-frankfurt-b-mönchengladbach-apuesta.csv,2026-02-14 15:09:18,Goal Clustering,34,2-0,3-0,1,6.17,,1.71,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.71,6.74,11,
"Como Fiorentina",como-fiorentina-apuestas-35215940,como-fiorentina-apuestas-35215940.csv,2026-02-14 15:26:23,xG Underperf,67,0-2,1-2,1,2.28,,1.28,Over 2.5,,,,0.65,,,,,0,0,1,1,0,home,,0,,,1.28,2.66,11,
"Barrow Colchester",barrow-colchester-apuestas-35240977,barrow-colchester-apuestas-35240977.csv,2026-02-14 15:33:02,Back Empate,31,,1-0,0,-10,2.22,,,,,0.15,,4.4,5,1,,1,1,1,1,1,,,0,,,2.22,-10,5,
"Hoffenheim Friburgo",hoffenheim-friburgo-apuestas-35217452,hoffenheim-friburgo-apuestas-35217452.csv,2026-02-14 15:41:22,Goal Clustering,45,1-0,3-0,1,6.55,,1.75,Over 1.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.75,7.12,11,
"Barnsley Afc Wimbledon",barnsley-afc-wimbledon-apuestas-35240943,barnsley-afc-wimbledon-apuestas-35240943.csv,2026-02-14 16:29:54,Pressure Cooker,65,,3-3,1,5.89,,1.68,Over 4.5,,,,,,,,,0,0,0,0,0,,,0,,,1.23,2.18,11,
"Charleroi Gante",charleroi-gante-apuestas-35241421,charleroi-gante-apuestas-35241421.csv,2026-02-14 17:56:36,Odds Drift,39,0-1,2-3,1,6.94,,,,1.79,36.6,,,,,,,0,0,0,0,0,away,1,0,,,1.31,2.95,6,none
"Lazio Atalanta",lazio-atalanta-apuestas-35215830,lazio-atalanta-apuestas-35215830.csv,2026-02-14 17:56:36,Goal Clustering,42,0-1,0-2,1,2.18,,1.27,Over 1.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.19,1.8,4,
"Sevilla Alavés",sevilla-alavés-apuestas-35216589,sevilla-alavés-apuestas-35216589.csv,2026-02-14 18:06:08,Back Empate,34,,1-1,1,13.4,2.5,,,,,0.28,,19.2,4,0,,1,1,1,1,1,,,0,,,2.5,14.25,4,
"Fc Groningen Utrecht",fc-groningen-utrecht-apuestas-35216585,fc-groningen-utrecht-apuestas-35216585.csv,2026-02-14 20:01:38,Tarde Asia,0,,1-2,1,9.78,,2.1,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,2.1,10.45,3,
"Liverpool Brighton",liverpool-brighton-apuestas-35172770,liverpool-brighton-apuestas-35172770.csv,2026-02-14 20:34:30,Back Empate,33,,3-0,0,-10,3.6,,,,,0.19,,10,8,1,,1,0,0,1,0,,,0,,,3.6,-10,3,
"Real Madrid Real Sociedad",real-madrid-real-sociedad-apuestas-35216679,real-madrid-real-sociedad-apuestas-35216679.csv,2026-02-14 20:39:19,Goal Clustering,31,3-1,5-1,1,34.48,,4.8,Over 4.5,,,,,,,,3,0,0,0,1,1,,,0,,,4.8,36.1,11,
"Fc Groningen Utrecht",fc-groningen-utrecht-apuestas-35216585,fc-groningen-utrecht-apuestas-35216585.csv,2026-02-14 21:22:48,xG Underperf,65,1-0,1-2,1,5.23,,1.61,Over 1.5,,,,1.86,,,,,0,0,1,1,0,away,,0,,,1.36,3.42,11,
"Liverpool Brighton",liverpool-brighton-apuestas-35172770,liverpool-brighton-apuestas-35172770.csv,2026-02-14 21:22:48,xG Underperf,63,2-0,3-0,1,2.18,,1.27,Over 2.5,,,,0.65,,,,,0,0,1,1,0,away,,0,,,1.27,2.56,11,
"Paris Fc Lens",paris-fc-lens-apuestas-35216501,paris-fc-lens-apuestas-35216501.csv,2026-02-14 21:34:40,Goal Clustering,58,0-3,0-3,0,-10,,1.58,Over 3.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.42,-10,3,
"Independiente Rivadavia Belgrano",independiente-rivadavia-belgrano-apuestas-35225054,independiente-rivadavia-belgrano-apuestas-35225054.csv,2026-02-15 01:33:45,Back Empate,31,,0-1,0,-10,2.46,,,,,,,8,3,1,,0,0,0,0,0,,,0,,,2.46,-10,10,
"Fc Juarez Necaxa",fc-juarez-necaxa-apuestas-35216583,fc-juarez-necaxa-apuestas-35216583.csv,2026-02-15 01:38:48,Back Empate,32,,1-2,0,-10,2.78,,,,,,,,0,0,,0,0,0,0,0,,,0,,,2.78,-10,9,
"Deportivo Pasto Internacional De Bogotá Apues",deportivo-pasto-internacional-de-bogotá-apues,deportivo-pasto-internacional-de-bogotá-apues.csv,2026-02-15 02:05:50,Back Empate,33,,1-1,1,11.59,2.3,,,,,,,,7,3,,0,0,0,0,0,,,0,,,2.3,12.35,11,
"Tochigi Uva Fc Blaublitz Akita",tochigi-uva-fc-blaublitz-akita-apuestas-35265819,tochigi-uva-fc-blaublitz-akita-apuestas-35265819.csv,2026-02-15 05:35:25,Back Empate,31,,0-1,0,-10,2.54,,,,,0,,4,3,0,,1,1,1,0,0,,,0,,,2.54,-10,11,
"Oita Kitakyushu",oita-kitakyushu-apuestas-35265820,oita-kitakyushu-apuestas-35265820.csv,2026-02-15 05:35:26,Back Empate,31,,2-0,0,-10,2.64,,,,,0,,8,10,6,,1,0,0,0,0,,,0,,,2.26,-10,11,
"Fc Gifu Iwata",fc-gifu-iwata-apuestas-35265818,fc-gifu-iwata-apuestas-35265818.csv,2026-02-15 05:36:15,Back Empate,31,,2-1,0,-10,2.78,,,,,0,,12,2,1,,1,1,1,0,0,,,0,,,2.44,-10,11,
"Tochigi Sc Yamagata",tochigi-sc-yamagata-apuestas-35265890,tochigi-sc-yamagata-apuestas-35265890.csv,2026-02-15 05:36:15,Back Empate,31,,1-2,0,-10,2.76,,,,,0,,6,10,4,,1,0,0,0,0,,,0,,,2.36,-10,11,
"Kamatamare Sanuki Toyama",kamatamare-sanuki-toyama-apuestas-35265771,kamatamare-sanuki-toyama-apuestas-35265771.csv,2026-02-15 05:36:15,Goal Clustering,28,1-2,1-5,1,25.37,,3.8,Over 3.5,,,,,,,,3,0,0,0,1,0,,,0,,,3.8,26.6,11,
"Tegevajaro Miyazaki Tottori",tegevajaro-miyazaki-tottori-apuestas-35265891,tegevajaro-miyazaki-tottori-apuestas-35265891.csv,2026-02-15 05:38:24,Goal Clustering,30,2-0,3-1,1,8.55,,1.97,Over 2.5,,,,,,,,6,0,0,0,1,0,,,0,,,1.97,9.21,11,
"Tokushima Albirex Niigata",tokushima-albirex-niigata-apuestas-35265824,tokushima-albirex-niigata-apuestas-35265824.csv,2026-02-15 05:47:18,Goal Clustering,40,2-0,4-0,1,14.34,,2.6,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,2.6,15.2,11,
"Renofa Yamaguchi Mio Biwako Shiga",renofa-yamaguchi-mio-biwako-shiga-apuestas-3526582,renofa-yamaguchi-mio-biwako-shiga-apuestas-3526582.csv,2026-02-15 05:48:06,Goal Clustering,40,2-0,2-1,1,6.46,,1.74,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.74,7.03,11,
"Fc Osaka Kochi Univ",fc-osaka-kochi-univ-apuestas-35265821,fc-osaka-kochi-univ-apuestas-35265821.csv,2026-02-15 05:51:17,Goal Clustering,45,1-1,2-2,1,11.02,,2.24,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,2.24,11.78,11,
"Ehime Kanazawa",ehime-kanazawa-apuestas-35265809,ehime-kanazawa-apuestas-35265809.csv,2026-02-15 06:15:30,Goal Clustering,46,0-2,2-2,1,9.03,,2.02,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,2.02,9.69,11,
"Arema Cronus Semen Padang",arema-cronus-semen-padang-apuestas-35243387,arema-cronus-semen-padang-apuestas-35243387.csv,2026-02-15 09:05:10,Goal Clustering,29,1-0,3-0,1,1.9,,1.24,Over 1.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.24,2.28,11,
"Círculo Brujas Club Brugge",círculo-brujas-club-brugge-apuestas-35245265,círculo-brujas-club-brugge-apuestas-35245265.csv,2026-02-15 12:42:58,Momentum x xG V1,10,0-0,1-2,0,-10,,,,4.5,,,,,,,,0,0,0,0,0,,,0,,,3.25,-10,11,none
"Thun Sion",thun-sion-apuestas-35258535,thun-sion-apuestas-35258535.csv,2026-02-15 13:24:36,Momentum x xG V1,23,0-0,1-0,1,6.08,,,,1.7,,,,,,,,0,0,0,0,0,,,0,,,1.58,5.51,11,none
"Olympiakos Nicosia Fc Omonia Fc Aradippou Apuestas",olympiakos-nicosia-fc-omonia-fc-aradippou-apuestas,olympiakos-nicosia-fc-omonia-fc-aradippou-apuestas.csv,2026-02-15 13:33:19,Back Empate,32,,0-0,1,13.02,2.46,,,,,0,,2,8,2,,1,0,0,0,0,,,0,,,2.22,11.59,11,
"Heerenveen Pec Zwolle",heerenveen-pec-zwolle-apuestas-35216590,heerenveen-pec-zwolle-apuestas-35216590.csv,2026-02-15 13:35:11,Tarde Asia,1,,4-2,1,4.75,,1.55,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,1.55,5.22,11,
"Mirandés Las Palmas",mirandés-las-palmas-apuestas-35247639,mirandés-las-palmas-apuestas-35247639.csv,2026-02-15 13:38:53,Momentum x xG V1,37,0-0,1-0,0,-10,,,,2.68,,,,,,,,0,0,0,0,0,,,0,,,2.02,-10,11,none
"Ludogorets Razgrad Beroe Stara Za",ludogorets-razgrad-beroe-stara-za-apuestas-3524331,ludogorets-razgrad-beroe-stara-za-apuestas-3524331.csv,2026-02-15 13:50:42,Odds Drift,58,0-1,2-1,0,-10,,,,3.35,37.3,,,,,,,0,0,0,0,1,away,1,0,,,2.44,-10,3,none
"Ludogorets Razgrad Beroe Stara Za",ludogorets-razgrad-beroe-stara-za-apuestas-3524331,ludogorets-razgrad-beroe-stara-za-apuestas-3524331.csv,2026-02-15 13:50:42,Goal Clustering,52,0-1,2-1,1,1.8,,1.23,Over 1.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.12,1.14,4,
"Grimsby Wolves",grimsby-wolves-apuestas-35172760,grimsby-wolves-apuestas-35172760.csv,2026-02-15 14:05:37,Back Empate,33,,0-1,0,-10,3.15,,,,,0.25,,12.2,6,0,,1,1,1,1,0,,,0,,,3.15,-10,11,
"Mirandés Las Palmas",mirandés-las-palmas-apuestas-35247639,mirandés-las-palmas-apuestas-35247639.csv,2026-02-15 14:15:30,xG Underperf,59,1-0,1-0,0,-10,,1.43,Over 1.5,,,,0.77,,,,,0,0,1,1,0,away,,0,,,1.43,-10,11,
"Oviedo Athletic De Bilbao",oviedo-athletic-de-bilbao-apuestas-35216603,oviedo-athletic-de-bilbao-apuestas-35216603.csv,2026-02-15 14:20:25,Goal Clustering,57,1-1,1-2,1,12.16,,2.36,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,2.36,12.92,11,
"Us Cremonese Génova",us-cremonese-génova-apuestas-35215933,us-cremonese-génova-apuestas-35215933.csv,2026-02-15 14:33:27,Back Empate,32,,0-0,1,13.59,2.52,,,,,0.56,,16.6,9,6,,1,0,0,0,0,,,0,,,2.42,13.49,11,
"Goztepe Kayserispor",goztepe-kayserispor-apuestas-35247853,goztepe-kayserispor-apuestas-35247853.csv,2026-02-15 14:33:27,Momentum x xG V1,29,0-0,0-0,0,-10,,,,1.94,,,,,,,,0,0,0,0,0,,,0,,,1.73,-10,11,none
"Stoke Fulham",stoke-fulham-apuestas-35172767,stoke-fulham-apuestas-35172767.csv,2026-02-15 14:42:43,xG Underperf,41,1-0,1-2,1,2.28,,1.28,Over 1.5,,,,0.51,,,,,0,0,1,1,0,away,,0,,,1.28,2.66,11,
"Le Havre Toulouse",le-havre-toulouse-apuestas-35216498,le-havre-toulouse-apuestas-35216498.csv,2026-02-15 14:45:31,xG Underperf,44,1-0,2-1,1,3.99,,1.47,Over 1.5,,,,0.71,,,,,0,0,1,1,0,away,,0,,,1.47,4.46,11,
"Motherwell Aberdeen",motherwell-aberdeen-apuestas-35257642,motherwell-aberdeen-apuestas-35257642.csv,2026-02-15 14:47:31,Momentum x xG V1,17,0-0,2-0,1,4.66,,,,1.54,,,,,,,,0,0,0,0,0,,,0,,,1.41,3.89,11,none
"Parma Verona",parma-verona-apuestas-35215939,parma-verona-apuestas-35215939.csv,2026-02-15 14:49:07,Goal Clustering,43,1-1,2-1,1,15.39,,2.72,Over 2.5,,,,,,,,3,0,0,0,1,1,,,0,,,2.72,16.34,11,
"Augsburgo Heidenheim",augsburgo-heidenheim-apuestas-35217437,augsburgo-heidenheim-apuestas-35217437.csv,2026-02-15 15:03:49,Back Empate,33,,1-0,0,-10,3.1,,,,,0.45,,8.2,10,2,,1,0,0,1,0,,,0,,,3.1,-10,11,
"Mlada Boleslav Teplice",mlada-boleslav-teplice-apuestas-35244135,mlada-boleslav-teplice-apuestas-35244135.csv,2026-02-15 15:03:49,Back Empate,31,,0-0,1,13.97,2.56,,,,,0.15,,22.8,5,2,,1,0,0,1,0,,,0,,,2.52,14.44,11,
"Motherwell Aberdeen",motherwell-aberdeen-apuestas-35257642,motherwell-aberdeen-apuestas-35257642.csv,2026-02-15 15:03:49,Goal Clustering,28,1-0,2-0,1,1.9,,1.24,Over 1.5,,,,,,,,4,0,0,0,1,1,,,0,,,1.24,2.28,11,
"Stoke Fulham",stoke-fulham-apuestas-35172767,stoke-fulham-apuestas-35172767.csv,2026-02-15 15:18:19,Goal Clustering,56,1-1,1-2,1,7.03,,1.8,Over 2.5,,,,,,,,5,0,0,0,1,1,,,0,,,1.8,7.6,11,
"Amberes Westerlo",amberes-westerlo-apuestas-35245449,amberes-westerlo-apuestas-35245449.csv,2026-02-15 15:20:38,Odds Drift,19,0-1,0-2,1,6.84,,,,1.78,34.8,,,,,,,0,0,0,0,0,away,1,0,,,1.32,3.04,4,none
"Odense Midtjylland",odense-midtjylland-apuestas-35244627,odense-midtjylland-apuestas-35244627.csv,2026-02-15 15:26:40,Goal Clustering,19,0-3,1-4,1,14.16,,2.58,Over 3.5,,,,,,,,6,0,0,0,1,1,,,0,,,2.58,15.01,11,
"Univ De Concepcion Deportes Concepcion",univ-de-concepcion-deportes-concepcion-apuestas-35,univ-de-concepcion-deportes-concepcion-apuestas-35.csv,2026-02-15 15:33:30,Goal Clustering,21,0-1,2-1,1,2.28,,1.29,Over 1.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.29,2.76,11,
"Pfc Levski Sofia Botev Plovdiv",pfc-levski-sofia-botev-plovdiv-apuestas-35243302,pfc-levski-sofia-botev-plovdiv-apuestas-35243302.csv,2026-02-15 15:46:58,Goal Clustering,38,1-0,3-0,1,1.61,,1.21,Over 1.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.21,1.99,11,
"Odense Midtjylland",odense-midtjylland-apuestas-35244627,odense-midtjylland-apuestas-35244627.csv,2026-02-15 16:28:44,xG Underperf,61,0-4,1-4,1,3.04,,1.37,Over 4.5,,,,0.51,,,,,0,0,1,1,0,home,,0,,,1.2,1.9,6,
"Cd Nacional Funchal Oporto",cd-nacional-funchal-oporto-apuestas-35246999,cd-nacional-funchal-oporto-apuestas-35246999.csv,2026-02-15 17:03:38,Goal Clustering,59,0-1,0-1,0,-10,,2.18,Over 1.5,,,,,,,,4,0,0,0,1,0,,,0,,,2.18,-10,11,
"Basaksehir Besiktas",basaksehir-besiktas-apuestas-35245192,basaksehir-besiktas-apuestas-35245192.csv,2026-02-15 17:36:28,Back Empate,33,,2-3,0,-10,3,,,,,0.24,,2.4,6,2,,1,1,1,1,1,,,0,,,3,-10,11,
"Lorient Angers",lorient-angers-apuestas-35216803,lorient-angers-apuestas-35216803.csv,2026-02-15 17:40:31,Goal Clustering,57,2-0,2-0,0,-10,,2.68,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,2.68,-10,11,
"Anderlecht Raal La Louviere",anderlecht-raal-la-louviere-apuestas-35245267,anderlecht-raal-la-louviere-apuestas-35245267.csv,2026-02-15 18:02:04,Momentum x xG V1,13,0-0,0-0,0,-10,,,,1.61,,,,,,,,0,0,0,0,0,,,0,,,1.61,-10,11,none
"Albacete Sporting De Gijón",albacete-sporting-de-gijón-apuestas-35245273,albacete-sporting-de-gijón-apuestas-35245273.csv,2026-02-15 18:03:49,Back Empate,32,,1-1,1,16.15,2.8,,,,,0.37,,4,9,1,,1,0,0,0,0,,,0,,,2.48,14.06,11,
"Torino Bologna",torino-bologna-apuestas-35215941,torino-bologna-apuestas-35215941.csv,2026-02-15 18:14:51,Goal Clustering,48,0-1,1-2,1,2.95,,1.36,Over 1.5,,,,,,,,4,0,0,0,1,1,,,0,,,1.36,3.42,11,
"Leiria Porto B",leiria-porto-b-apuestas-35245372,leiria-porto-b-apuestas-35245372.csv,2026-02-15 18:35:02,Back Empate,31,,2-1,0,-10,2.88,,,,,0,,2,2,2,,1,1,1,0,0,,,0,,,2.86,-10,5,
"Calcio Avellino Ssd Pescara",calcio-avellino-ssd-pescara-apuestas-35256329,calcio-avellino-ssd-pescara-apuestas-35256329.csv,2026-02-15 18:44:17,Momentum x xG V1,12,0-0,0-1,1,21.19,,,,3.35,,,,,,,,0,0,0,0,0,,,0,,,2.56,14.82,11,none
"Gimnasia La Plata Estudiantes",gimnasia-la-plata-estudiantes-apuestas-35225039,gimnasia-la-plata-estudiantes-apuestas-35225039.csv,2026-02-15 20:35:57,Back Empate,34,,0-0,1,14.92,2.66,,,,,,,8,7,2,,0,0,0,0,0,,,0,,,2.54,14.63,11,
"Lyon Niza",lyon-niza-apuestas-35216499,lyon-niza-apuestas-35216499.csv,2026-02-15 21:03:18,xG Underperf,50,1-0,2-0,1,2.28,,1.28,Over 1.5,,,,1.07,,,,,0,0,1,1,0,away,,0,,,1.22,2.09,10,
"Sporting De Lisboa Famalicao",sporting-de-lisboa-famalicao-apuestas-35247011,sporting-de-lisboa-famalicao-apuestas-35247011.csv,2026-02-15 21:05:43,Back Empate,33,,1-0,0,-10,3.95,,,,,0.48,,15,8,3,,1,0,0,1,0,,,0,,,3.05,-10,10,
"Mallorca Betis",mallorca-betis-apuestas-35216706,mallorca-betis-apuestas-35216706.csv,2026-02-15 21:17:10,xG Underperf,54,0-2,1-2,1,10.83,,2.22,Over 2.5,,,,0.53,,,,,0,0,1,1,0,home,,0,,,2.22,11.59,11,
"Boca Juniors Ca Platense",boca-juniors-ca-platense-apuestas-35225060,boca-juniors-ca-platense-apuestas-35225060.csv,2026-02-15 23:04:22,Back Empate,34,,0-0,1,13.78,2.54,,,,,,,24,8,3,,0,0,0,0,0,,,0,,,2.54,14.63,10,
"Esporte Clube Primavera Noroeste Bauru",esporte-clube-primavera-noroeste-bauru-apuestas-35,esporte-clube-primavera-noroeste-bauru-apuestas-35.csv,2026-02-15 23:41:43,Odds Drift,7,0-1,2-3,1,22.14,,,,3.45,30.7,,,,,,,0,0,0,0,0,away,1,0,,,2.64,15.58,10,none
"Red Bull Bragantino Novorizontino",red-bull-bragantino-novorizontino-apuestas-3524529,red-bull-bragantino-novorizontino-apuestas-3524529.csv,2026-02-15 23:59:56,Momentum x xG V1,23,0-0,2-0,1,5.7,,,,1.66,,,,,,,,0,0,0,0,0,,,0,,,1.53,5.04,11,none
"Colo Colo Unión La Calera",colo-colo-unión-la-calera-apuestas-35244756,colo-colo-unión-la-calera-apuestas-35244756.csv,2026-02-16 00:06:15,Back Empate,34,,0-0,1,22.61,3.5,,,,,0.44,,18.4,6,0,,1,1,1,1,1,,,0,,,3.45,23.27,11,
"Botafogo Sp Capivariano Sp",botafogo-sp-capivariano-sp-apuestas-35245279,botafogo-sp-capivariano-sp-apuestas-35245279.csv,2026-02-16 00:06:59,Back Empate,32,,0-0,1,13.4,2.5,,,,,0.53,,5.4,10,2,,1,0,0,1,0,,,0,,,2.5,14.25,3,
"Ponte Preta São Paulo",ponte-preta-são-paulo-apuestas-35245206,ponte-preta-são-paulo-apuestas-35245206.csv,2026-02-16 00:08:19,Momentum x xG V1,33,0-0,1-2,1,4.08,,,,1.48,,,,,,,,0,0,0,0,0,,,0,,,1.3,2.85,11,none
"Ponte Preta São Paulo",ponte-preta-são-paulo-apuestas-35245206,ponte-preta-são-paulo-apuestas-35245206.csv,2026-02-16 00:50:04,Goal Clustering,48,0-2,1-2,1,2.66,,1.33,Over 2.5,,,,,,,,5,0,0,0,1,1,,,0,,,1.33,3.14,3,
"Modern Sport Fc Kahraba Ismailia",modern-sport-fc-kahraba-ismailia-apuestas-35248915,modern-sport-fc-kahraba-ismailia-apuestas-35248915.csv,2026-02-16 15:31:33,Back Empate,31,,1-1,1,17.48,2.94,,,,,0.54,,5.2,7,2,,1,1,0,1,0,,,0,,,2.94,18.43,11,
